,City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
218,Lancaster,160818,1193,7,94,298,794,3805,1001,2074,730,28
219,La Palma,15747,20,0,0,5,15,334,84,227,23,1
220,La Puente,40390,162,3,16,41,102,501,96,258,147,2
221,La Quinta,41849,42,1,1,20,20,1154,174,896,84,2
222,La Verne,32656,87,0,18,11,58,742,129,538,75,1
223,Lawndale,33121,129,3,10,30,86,348,61,185,102,1
224,Lemon Grove,27364,155,2,6,52,95,468,67,309,92,3
225,Lemoore,26626,188,0,18,20,150,385,69,264,52,1
226,Lincoln,48364,35,0,13,12,10,418,83,291,44,4
227,Lindsay,13542,34,1,0,8,25,214,30,129,55,3
228,Livermore,91612,186,0,33,58,95,1696,212,1329,155,8
229,Livingston,14301,41,0,1,13,27,308,82,173,53,4
230,Lodi,66416,277,9,12,88,168,1701,359,1000,342,14
231,Loma Linda,24319,40,0,7,10,23,608,125,385,98,1
232,Lomita,20770,66,1,6,11,48,312,64,201,47,0
233,Lompoc,43719,218,1,26,32,159,951,178,629,144,14
234,Long Beach,470445,3284,30,219,979,2056,11922,2328,7315,2279,127
235,Los Alamitos,11629,8,0,1,3,4,156,54,78,24,0
236,Los Altos,30989,13,0,4,3,6,284,80,188,16,0
237,Los Altos Hills,8656,7,0,0,2,5,48,29,17,2,2
238,Los Angeles,4029741,30126,258,2528,10327,17013,101267,15988,67963,17316,1654
239,Los Banos,39651,144,1,7,37,99,1071,244,659,168,4
240,Los Gatos,30899,10,0,2,6,2,459,58,360,41,0
241,Lynwood,71315,426,9,22,180,215,1438,228,656,554,21
242,Madera,66098,399,6,37,92,264,1346,241,898,207,15
243,Malibu,12911,37,1,9,9,18,380,74,277,29,1
244,Mammoth Lakes,8118,19,0,2,3,14,82,9,71,2,1
245,Manhattan Beach,36038,57,1,8,27,21,844,113,684,47,2
246,Manteca,81080,256,0,18,97,141,2288,386,1522,380,15
247,Marina,22511,49,1,4,14,30,317,41,240,36,2
248,Martinez,38699,73,0,10,32,31,524,73,346,105,0
249,Marysville,12459,112,0,11,26,75,533,72,332,129,11
250,Maywood,27612,87,2,10,26,49,302,72,107,123,0
251,McFarland,15475,61,2,10,6,43,212,69,68,75,8
252,Mendota,11476,86,0,5,6,75,197,50,78,69,0
253,Menifee,92540,155,3,9,46,97,1945,331,1282,332,1
254,Menlo Park,34694,43,1,9,9,24,606,110,470,26,1
255,Merced,83659,465,1,30,116,318,2219,387,1404,428,62
256,Mill Valley,14418,9,0,1,4,4,196,44,137,15,0
257,Milpitas,79895,87,0,11,45,31,1934,243,1435,256,4
258,Mission Viejo,96419,113,0,5,24,84,937,157,702,78,5
259,Modesto,215822,1904,16,105,420,1363,7727,1109,5420,1198,62
260,Monrovia,37128,69,2,10,31,26,914,121,723,70,1
261,Montague,1401,12,0,1,1,10,26,16,8,2,2
262,Montclair,39648,239,1,37,72,129,1646,337,990,319,18
263,Montebello,63291,218,6,10,109,93,1643,619,548,476,86
264,Monterey,28744,112,0,18,35,59,1143,204,859,80,3
265,Monterey Park,61160,124,0,4,73,47,1589,356,1017,216,2
266,Monte Sereno,3606,0,0,0,0,0,19,8,8,3,0
267,Moorpark,37121,33,0,7,7,19,261,55,188,18,1
268,Moraga,17866,12,0,2,2,8,94,12,75,7,0
269,Moreno Valley,209145,775,9,30,293,443,6161,1101,3854,1206,11
270,Morgan Hill,46142,52,1,0,17,34,740,125,501,114,1
271,Morro Bay,10692,36,0,3,4,29,135,16,113,6,0
272,Mountain View,82518,157,0,13,59,85,2103,276,1659,168,7
273,Mount Shasta,3289,11,0,1,1,9,47,7,28,12,0
274,Murrieta,114706,92,2,16,35,39,1412,234,952,226,2
275,Napa,80145,269,0,56,46,167,1241,258,814,169,30
276,National City,61763,306,2,22,101,181,1167,127,748,292,8
277,Needles,5030,59,0,6,2,51,202,74,99,29,12
278,Nevada City,3146,13,0,3,2,8,112,21,72,19,0
279,Newark,48276,97,1,20,39,37,1318,180,969,169,7
280,Newman,11525,19,3,1,7,8,134,25,71,38,0
281,Newport Beach,86276,124,1,31,29,63,2073,397,1513,163,3
282,Norco,26716,63,0,4,19,40,675,123,442,110,0
283,Norwalk,106158,449,9,23,132,285,1948,438,1116,394,13
284,Novato,56577,97,1,10,19,67,773,118,564,91,8
285,Oakdale,23504,48,0,9,18,21,555,109,375,71,4
286,Oakland,430230,5480,70,448,2624,2338,23190,2394,15725,5071,245
287,Oakley,42655,42,1,1,9,31,508,90,323,95,2
288,Oceanside,177464,669,9,69,158,433,3836,526,2845,465,16
289,Ojai,7597,6,0,1,3,2,68,12,50,6,1
290,Ontario,177542,670,6,106,231,327,4584,723,2858,1003,27
291,Orange,141108,160,3,12,73,72,2478,478,1700,300,19
292,Orange Cove,9682,25,1,2,5,17,94,30,42,22,0
293,Orinda,20020,9,0,1,7,1,110,30,69,11,0
294,Orland,7697,25,0,3,6,16,121,22,82,17,0
295,Oroville,19186,112,4,10,32,66,982,152,623,207,9
296,Oxnard,211737,801,14,66,327,394,5055,704,3568,783,41
297,Pacifica,39339,71,0,20,16,35,402,70,304,28,1
298,Pacific Grove,15788,23,0,9,2,12,312,44,252,16,0
299,Palmdale,158177,591,4,43,161,383,2442,513,1426,503,20
300,Palm Desert,53567,91,0,6,21,64,1989,329,1530,130,4
301,Palm Springs,48644,274,3,35,81,155,2078,522,1281,275,5
302,Palo Alto,67560,72,0,5,30,37,1513,234,1197,82,8
303,Palos Verdes Estates,13559,6,0,1,4,1,104,33,69,2,0
304,Paradise,26755,65,0,15,5,45,279,109,125,45,0
305,Paramount,55023,329,3,19,137,170,1427,213,871,343,5
306,Parlier,15356,111,3,9,18,81,335,108,124,103,9
307,Pasadena,143448,547,7,47,174,319,2928,663,1959,306,22
308,Paso Robles,32228,43,0,13,7,23,797,133,610,54,2
309,Patterson,22363,53,0,0,8,45,387,45,224,118,2
310,Perris,79238,214,5,7,78,124,2000,248,1036,716,5
311,Petaluma,61289,197,0,31,27,139,889,153,668,68,6
312,Pico Rivera,63602,228,4,9,77,138,1159,231,614,314,5
313,Piedmont,11478,21,0,1,10,10,195,47,124,24,1
314,Pinole,19509,70,0,0,29,41,747,83,605,59,2
315,Pismo Beach,8323,30,0,3,3,24,439,129,295,15,1
316,Pittsburg,73462,422,3,53,130,236,1679,251,1010,418,20
317,Placentia,52324,120,0,10,20,90,904,243,548,113,2
318,Placerville,11018,54,0,17,9,28,278,47,189,42,2
319,Pleasant Hill,35252,57,1,3,32,21,1584,134,1373,77,1
320,Pleasanton,84992,110,0,6,57,47,1445,156,1177,112,4
321,Pomona,153496,877,17,76,361,423,4697,903,2764,1030,34
322,Porterville,59394,209,3,15,52,139,1561,320,935,306,3
323,Port Hueneme,22417,61,0,4,18,39,421,86,280,55,11
324,Poway,50346,65,1,11,10,43,509,92,380,37,4
325,Rancho Cordova,74863,272,3,26,74,169,1388,257,934,197,1
326,Rancho Cucamonga,179114,290,1,51,112,126,3854,625,2831,398,15
327,Rancho Mirage,18463,24,0,0,5,19,708,133,513,62,0
328,Rancho Palos Verdes,42464,32,0,6,5,21,389,120,240,29,0
329,Rancho Santa Margarita,48918,46,0,3,6,37,316,43,261,12,9
330,Red Bluff,14315,165,2,24,20,119,719,151,451,117,14
331,Redding,92068,620,2,87,96,435,3433,613,2281,539,9
332,Redlands,71954,264,5,64,82,113,2491,326,1842,323,41
333,Redondo Beach,68048,171,4,14,53,100,1452,249,1071,132,3
334,Redwood City,88161,177,0,45,53,79,1254,172,912,170,8
335,Reedley,25809,105,3,13,10,79,289,91,128,70,6
336,Rialto2,104173,543,5,45,195,298,3038,544,1850,644,20
337,Richmond,110982,1046,17,32,375,622,4353,383,2285,1685,43
338,Ridgecrest,29055,171,1,31,15,124,500,123,316,61,13
339,Rio Dell,3413,8,0,3,2,3,61,14,41,6,1
340,Rio Vista,9268,21,0,2,2,17,118,32,63,23,1
341,Ripon,15878,10,0,3,5,2,225,27,184,14,2
342,Riverbank,25035,24,0,0,13,11,447,67,326,54,0
343,Riverside,331022,1686,14,150,543,979,10226,1470,6911,1845,73
344,Rocklin,65969,52,0,13,16,23,952,172,699,81,6
345,Rohnert Park,43129,222,0,40,22,160,745,112,549,84,4
346,Rolling Hills,1885,0,0,0,0,0,5,1,4,0,0
347,Rolling Hills Estates,8249,8,1,3,2,2,108,33,67,8,2
348,Rosemead,54661,194,1,12,87,94,1274,288,702,284,5
349,Roseville,137706,299,3,28,133,135,3252,428,2543,281,21
350,Ross,2487,1,0,1,0,0,24,7,17,0,0
351,Sacramento,507037,3329,36,102,1052,2139,15417,2751,9783,2883,146
352,Salinas,158590,981,19,100,321,541,4304,897,2180,1227,31
353,San Bernardino,217986,2906,49,153,974,1730,9014,2226,4594,2194,75
354,San Bruno,43621,123,0,20,38,65,984,116,775,93,19
355,San Clemente,65509,114,0,9,28,77,900,140,697,63,3
356,Sand City,395,8,0,0,3,5,111,8,96,7,0
357,San Diego,1436495,5360,35,605,1439,3281,27416,3752,18482,5182,187
358,San Dimas,34463,80,1,11,22,46,751,152,534,65,6
359,San Fernando,24869,102,0,3,37,62,312,51,162,99,0
360,San Francisco,889282,6144,46,354,3165,2579,49214,5322,39675,4217,288
361,San Gabriel,40637,136,0,9,51,76,691,172,453,66,3
362,Sanger,25287,88,1,15,13,59,362,110,188,64,2
363,San Jacinto,48830,132,2,1,70,59,1461,287,935,239,0
364,San Jose,1047305,4444,28,615,1593,2208,25753,4539,13510,7704,121
365,San Juan Capistrano,36295,84,0,9,12,63,351,96,215,40,1
366,San Leandro,91359,473,1,22,299,151,3584,439,2333,812,27
367,San Luis Obispo,47885,192,1,55,33,103,1809,242,1493,74,21
368,San Marcos,98088,202,0,18,61,123,1052,167,740,145,5
369,San Marino,13358,11,0,1,2,8,203,84,118,1,3
370,San Mateo,105839,285,0,25,88,172,2163,590,1360,213,6
371,San Pablo,31403,180,0,14,99,67,979,114,531,334,6
372,San Rafael,59254,257,2,32,107,116,1695,277,1050,368,16
373,San Ramon,76569,43,0,4,21,18,786,103,631,52,6
374,Santa Ana,335403,1571,21,230,499,821,6390,910,3931,1549,57
375,Santa Barbara,92630,415,1,77,89,248,2333,261,1894,178,16
376,Santa Clara,128682,208,1,33,74,100,3741,429,2860,452,11
377,Santa Clarita,216589,292,4,43,94,151,2437,582,1560,295,26
378,Santa Cruz,65680,390,1,34,66,289,2905,336,2308,261,53
379,Santa Fe Springs,18241,105,1,6,39,59,991,176,651,164,8
380,Santa Maria,108100,497,6,60,159,272,1932,377,979,576,24
381,Santa Monica,92674,797,7,60,278,452,4732,662,3835,235,21
382,Santa Paula,30456,90,1,3,32,54,458,99,318,41,0
383,Santa Rosa,176325,823,3,149,147,524,3118,547,2179,392,26
384,Santee,58781,109,0,13,31,65,886,113,701,72,11
385,Saratoga,31023,22,0,7,6,9,237,97,127,13,1
386,Sausalito,7167,9,0,0,0,9,201,13,179,9,1
387,Scotts Valley,11998,17,0,6,2,9,191,42,137,12,3
388,Seal Beach,24356,39,0,9,20,10,601,70,493,38,14
389,Seaside,34303,92,0,13,23,56,445,41,333,71,4
390,Sebastopol,7705,15,1,2,5,7,164,71,84,9,0
391,Selma,24979,240,3,23,16,198,725,239,344,142,3
392,Shafter,19986,44,0,6,8,30,544,138,285,121,12
393,Sierra Madre,11055,7,0,0,0,7,95,34,59,2,0
394,Signal Hill,11711,86,0,10,37,39,690,107,471,112,4
395,Simi Valley,127222,214,0,46,56,112,1491,253,1118,120,2
396,Solana Beach,13524,23,1,2,3,17,206,62,123,21,0
397,Soledad,26313,70,1,5,10,54,101,17,53,31,1
398,Solvang,6013,6,0,1,1,4,52,12,35,5,0
399,Sonoma,11173,44,0,4,5,35,164,23,133,8,0
400,Sonora,4851,27,0,8,8,11,286,40,228,18,5
401,South El Monte,21113,126,1,7,33,85,621,145,313,163,5
402,South Gate,95570,634,1,34,192,407,2364,343,1376,645,15
403,South Lake Tahoe,22060,182,3,9,22,148,454,114,279,61,7
404,South Pasadena,25924,32,0,2,19,11,522,103,360,59,0
405,South San Francisco,67973,181,0,22,56,103,1444,257,1002,185,5
406,Stallion Springs,2645,1,0,1,0,0,17,2,14,1,0
407,Stanton,38618,135,0,10,42,83,618,94,401,123,5
408,St. Helena,6251,9,0,0,1,8,47,11,31,5,1
409,Stockton,313158,4383,33,193,1205,2952,11800,2329,7417,2054,191
410,Suisun City,29859,93,1,13,18,61,627,54,483,90,5
411,Sunnyvale,155637,255,1,43,71,140,2541,424,1764,353,8
412,Susanville,15017,197,0,8,11,178,274,84,177,13,3
413,Sutter Creek,2584,1,0,0,0,1,39,5,29,5,0
414,Taft,9449,72,0,1,6,65,338,105,190,43,0
415,Tehachapi,12402,82,0,19,12,51,276,71,155,50,3
416,Temecula,116411,139,0,4,60,75,2711,429,1964,318,2
417,Temple City,36484,64,0,7,22,35,472,212,216,44,0
418,Thousand Oaks,129319,126,14,30,30,52,1480,236,1127,117,4
419,Tiburon,9195,7,0,0,2,5,77,15,62,0,0
420,Torrance,146968,267,2,35,107,123,2702,468,1951,283,9
421,Tracy,91988,199,4,31,61,103,2331,261,1772,298,17
422,Truckee,16609,17,0,2,3,12,143,42,85,16,2
423,Tulare,64509,251,3,24,61,163,1818,325,1143,350,6
424,Tulelake,991,0,0,0,0,0,6,1,3,2,0
425,Turlock,74267,420,7,29,130,254,2233,351,1447,435,45
426,Tustin,81243,122,0,15,49,58,1874,243,1506,125,5
427,Twentynine Palms,26755,81,1,16,16,48,278,111,136,31,7
428,Ukiah,16037,95,1,15,11,68,284,76,149,59,26
429,Union City,76198,261,1,15,89,156,1653,246,1170,237,10
430,Upland,77453,290,2,13,109,166,2072,500,1297,275,3
431,Vacaville,101146,230,2,22,63,143,2158,163,1804,191,12
432,Vallejo,122974,942,8,103,349,482,4508,2456,975,1077,40
433,Ventura,111272,445,2,54,117,272,3482,481,2667,334,32
434,Vernon,113,27,1,1,13,12,383,82,195,106,3
435,Victorville,123343,809,9,63,258,479,2718,631,1386,701,32
436,Villa Park,5904,0,0,0,0,0,57,21,34,2,0
437,Visalia,134224,450,3,107,138,202,3978,748,2701,529,23
438,Vista,102742,330,5,32,104,189,1497,266,926,305,2
439,Walnut,30343,22,0,4,9,9,483,217,228,38,0
440,Walnut Creek,70587,109,2,3,35,69,2249,303,1812,134,1
441,Waterford,9018,20,0,0,6,14,114,27,53,34,0
442,Watsonville,54513,243,1,18,50,174,1330,196,785,349,14
443,Weed,2682,26,0,2,4,20,82,13,62,7,0
444,West Covina,107806,292,1,25,150,116,2513,385,1735,393,8
445,West Hollywood,37478,301,3,40,127,131,2100,240,1762,98,20
446,Westlake Village,8459,12,1,0,6,5,200,36,156,8,1
447,Westminster,91821,286,2,26,117,141,2433,425,1739,269,8
448,Westmorland,2291,12,1,0,0,11,28,6,21,1,1
449,West Sacramento,54215,225,1,17,92,115,1412,224,931,257,15
450,Wheatland,3892,3,0,0,0,3,49,9,29,11,1
451,Whittier,87055,233,1,23,99,110,2225,367,1527,331,11
452,Wildomar,37626,48,1,0,19,28,724,136,456,132,0
453,Williams,5380,22,0,1,3,18,81,28,43,10,3
454,Willits,4875,21,0,10,5,6,72,15,32,25,3
455,Windsor,27654,74,0,7,6,61,249,42,190,17,2
456,Winters,7371,9,0,2,3,4,118,17,94,7,0
457,Woodlake,7700,25,0,2,1,22,107,25,69,13,5
458,Woodland,60679,220,1,16,67,136,1602,252,1146,204,25
459,Yorba Linda,68794,44,0,6,12,26,812,185,561,66,5
460,Yountville,2921,2,0,1,0,1,33,5,28,0,0
461,Yreka,7573,37,0,2,2,33,221,38,164,19,0
462,Yuba City,67035,264,1,35,75,153,1846,234,1356,256,11
463,Yucaipa,54001,101,0,12,29,60,822,160,473,189,3
464,Yucca Valley,21895,85,2,8,21,54,340,83,204,53,5
465,1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ,,,,,,,,,,,
466,"2 Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,
